since,offer_id,status,type,user_id,stage,status_title,until,booking_status,tag_id
1722334500,,on_hold,on_hold,,,rental.status.on_hold.title,1722507300,,42b0da8a-de23-4be3-90c8-63ff315730e4
1722517500,,on_hold,on_hold,,,rental.status.on_hold.title,1722776700,,05ee9553-1c9a-4d36-a467-435d380ebbbd
1721812200,,on_hold,on_hold,,,rental.status.on_hold.title,1722071400,,543c77b3-3e65-4582-bdd6-1d163632d89d
1722332040,,on_hold,on_hold,,,rental.status.on_hold.title,1722335184,,e736e39b-fd5f-428d-af79-d62e774bee5d
1722335184,,on_hold,on_hold,,,rental.status.on_hold.title,1722421584,,038c0a6d-1461-422a-a7c1-12293d81c421
1721887200,be90c432-122b-d6fe-b875-5a2a3f9efc65,confirmed,booking,1484a5dd-ab99-4c3d-85c5-23f1ff036eb5,prereservation,Confirmed,1722060000,start_delayed,3128fcd6-9162-40e5-991f-da221296f645
1722490200,,on_hold,on_hold,,,rental.status.on_hold.title,1722576600,,eafba7eb-17f0-4271-8ac4-edddcce5b6be
1722384000,,on_hold,on_hold,,,rental.status.on_hold.title,1722729600,,2311e072-9209-46f0-a39d-0b20c921ac52
1721906714,,on_hold,on_hold,,,rental.status.on_hold.title,1722079514,,f40a34b2-3e6f-4004-b94e-3b17d8ce4352
1722345300,,on_hold,on_hold,,,rental.status.on_hold.title,1722431700,,888a3a1a-858d-4161-82c4-7a886bf4a662
1721894400,42ce9ed4-1f6b-eecf-19db-acacf99b842e,confirmed,booking,2d5bcbdf-2f25-4dc1-8f65-b200c0954872,prereservation,Confirmed,1722153600,start_delayed,0c389404-08c8-4580-991e-71f0ffb2619a
1721585788,,on_hold,on_hold,,,rental.status.on_hold.title,1722017788,,1311a959-ef28-49d4-bcb2-a9046581bda8
1722103516,,on_hold,on_hold,,,rental.status.on_hold.title,1722276316,,2334c2b0-b986-4176-a074-42d4cac174f1
1722492000,a49a99b4-d032-ccb6-d7e5-4e7d415614db,confirmed,booking,1e5940c4-0c72-492e-bb68-634e5cba57be,prereservation,Confirmed,1722664800,start_delayed,1e37e677-f8f3-44e3-99cd-ba5c29ae68b9
1722513240,,on_hold,on_hold,,,rental.status.on_hold.title,1722599640,,16b11f94-a111-4175-b8ca-5cfb2a80ba96
1721895540,,on_hold,on_hold,,,rental.status.on_hold.title,1722586740,,d7df47f7-b156-4f5f-acda-09b70e763b80
1722509348,,on_hold,on_hold,,,rental.status.on_hold.title,1722595748,,5993ac84-3de0-492c-8d39-349b7f839c2a
1722520980,,on_hold,on_hold,,,rental.status.on_hold.title,1722866580,,6f952090-be24-4e7f-bec8-8a6d691b36e0
1721800800,3aad1c2d-0761-b702-182c-70d05325fc33,confirmed,booking,982bc333-9898-4ac4-9f4f-1405e0489288,prereservation,Confirmed,1721973600,start_delayed,0a580064-0749-4e94-859d-3de207ba9445
